,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
7732,ASETKAYAMAS SDN BHD,https://www.jobstreet.com.my/en/companies/1043339-asetkayamas,2.0,0,1,2,2,4,100%,11%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
7733,REAL SCHOLAR ACADEMY SDN BHD (Classifieds),https://www.jobstreet.com.my/en/companies/812013-real-scholar-academy-classifieds,5.0,9,0,0,0,0,100%,88%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
7734,Tamura Electronics (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/610228-tamura-electronics-m,4.3333,5,3,0,1,0,55%,88%,"Lot 1, Jalan SS8/6 Sungai Way Free Trade Industrial Zone Petaling Jaya Selangor Malaysia",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7735,Taliworks Construction Sdn Bhd,https://www.jobstreet.com.my/en/companies/466466-taliworks-construction,3.6667,3,2,3,0,1,77%,55%,"Menara LGB, No.1, Jalan Wan Kadir, Taman Tun Dr. Ismail, 60000 Kuala Lumpur",No Info,51 - 200 Employees,"Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7736,OPTIMUM INFOSOLUTIONS (M) SDN BHD,https://www.jobstreet.com.my/en/companies/457420-optimum-infosolutions-m,2.5556,2,2,0,0,5,66%,44%,"305 (Suite 1) Block E, Phileo Damansara 1, No. 9 Jalan 16/11, Off Jalan Damansara Petaling Jaya 46350 Selangor",No Info,1 - 50 Employees,No Info,No Info,No Info,No Info
7737,Corkjoint (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/445148-corkjoint-malaysia,2.2222,1,1,2,0,5,88%,33%,"51 Jalan BRP 8/2, Bukit Rahman Putra Industrial Park, 47000 Sungai Buloh, Selangor Darul Ehsan.",corkjoint.com,1 - 50 Employees,"Hospitalisation & Surgical Insurance and Personal Accident Insurance, Medical",Semi-formal,English,Mon-Fri (8:30- 6:00) & one Sat/mth
7738,Intelek Staffing Services Sdn Bhd,https://www.jobstreet.com.my/en/companies/440717-intelek-staffing-services,4.4444,7,1,0,0,1,88%,88%,"No. 3-1, Jalan Singa C/20C, Seksyen 20, 40000 Shah Alam, Selangor",No Info,501 - 1000 Employees,No Info,No Info,No Info,No Info
7739,Auto Commerz Sdn Bhd,https://www.jobstreet.com.my/en/companies/463857-auto-commerz,3.1111,4,0,1,1,3,77%,33%,Jalan Subang 10 Kampung Kenangan Puchong Selangor Malaysia,No Info,1 - 50 Employees,"Medical, Insurance",Business (e.g. Shirts),English,5 days
7740,PLANET TELECOMS MANAGED SERVICES SDN BHD,https://www.jobstreet.com.my/en/companies/462063-planet-telecoms-managed-services,4.1111,2,6,1,0,0,88%,100%,"22 Jalan Imbi, Pudu, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Hospital & Surgical insurance",Casual (e.g. T-shirts),"English, Bahasa Malaysia and Chinese","Regular hours, Mondays - Fridays"
7741,"Gleneagles Medini Hospital, Johor Bahru",https://www.jobstreet.com.my/en/companies/156774564044319-gleneagles-medini-hospital-johor-bahru,3.6667,4,2,1,0,2,88%,66%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
7742,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",https://www.jobstreet.com.my/en/companies/1016751-kementerian-perdagangan-dalam-negeri-koperasi-dan-kepenggunaan,4.5556,5,4,0,0,0,88%,100%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
7743,Alpha Specialist Centre,https://www.jobstreet.com.my/en/companies/644959-alpha-specialist-centre,3.6667,3,2,3,0,1,66%,66%,25-31 Jalan PJU 5/6 Kota Damansara Petaling Jaya Selangor Malaysia,No Info,1 - 50 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Monday - Friday, 8.30am - 5.30pm, Saturday 8.30am - 1.00pm"
7744,Palm Garden Hotel,https://www.jobstreet.com.my/en/companies/865535-palm-garden-hotel,4.3333,5,3,0,1,0,66%,88%,No Info,palmgarden-hotel.com,1 - 50 Employees,•	Basic Salary  + Bonus Incentive •	Accommodation •Annual leave,Business (e.g. Shirts),English,8-5
7745,Carrier (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/617802-carrier-malaysia,4.4444,5,3,1,0,0,100%,77%,"41,Jalan Kelawai  Georgetown 10250",carrier.com.my,No Info,No Info,No Info,No Info,No Info
7746,M & J AGRICULTURE SDN. BHD.,https://www.jobstreet.com.my/en/companies/1242094-m-n-j-agriculture,2.8889,2,3,0,0,4,55%,55%,"Lot 58, 90 Block, 180 SLD, Jln Tun Ahmad Zaidi Adruce 28, 96000 Sibu, Sarawak.",mjagri.co,1 - 50 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7747,PETZL MANUFACTURING MALAYSIA SDN. BHD.,https://www.jobstreet.com.my/en/companies/460621-petzl-manufacturing-malaysia,4.1111,5,2,1,0,1,88%,66%,"Jalan Kancing Jaya 8, Taman Kancing, 48000 Rawang, Selangor, Malaysia",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7748,Oiltek Sdn Bhd,https://www.jobstreet.com.my/en/companies/455179-oiltek,3.5556,4,1,2,0,2,66%,77%,"Lot 6, Jalan Pasaran 23/5 Kawasan Miel, Phase 10  Shah Alam, 40300 Selangor",No Info,1 - 50 Employees,"Medical, Travelling Allowance & Incentives",Corporate Appropriate Attire,"English, Bahasa Malaysia & Mandarin","Regular hours, Mondays - Fridays"
7749,MYHEALTHDRIVER.COM SDN BHD  (Established Since 2000),https://www.jobstreet.com.my/en/companies/441653-myhealthdriver-established-since-2000,3.5556,5,0,1,1,2,77%,44%,"12 Jalan IDA 1B, Industri Desa Aman, Kepong 52200 Kuala Lumpur",myhealthdriver.com,1 - 50 Employees,"Medical, Loyalty Reward, Oversea Travelling , PA Insurance",Business (e.g. Shirts),English is official language,"Regular hours, Mondays - Fridays"
7750,Jurutera Minsar Consult Sdn Bhd,https://www.jobstreet.com.my/en/companies/650769-jurutera-minsar-consult,4.5556,5,4,0,0,0,100%,100%,"Level 2 & 3, Westmoore House, Twin Tower Centre, Rock Road 93200 Kuching, Sarawak",minsar.com.my,51 - 200 Employees,Medical,Formal (e.g. Shirts + Ties),English,Mondays to Saturday (Follow Contractor's Working Hours)
7751,YSL Maintenance Sdn Bhd,https://www.jobstreet.com.my/en/companies/452216-ysl-maintenance,3.625,1,5,1,0,1,88%,77%,"14-1,Jalan Equine 9c, Taman Equine, 43300 Seri Kembangan, 雪兰莪马来西亚",No Info,1 - 50 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7752,KSL Resort,https://www.jobstreet.com.my/en/companies/629033-ksl-resort,4.4444,6,2,0,1,0,88%,66%,"No. 65-2, (2nd Floor) Jalan Radin Tengah, Bandar Baru Sri Petaling Kuala Lumpur 57000",-,1 - 50 Employees,No Info,No Info,No Info,No Info
7753,Mitsui OSK Lines (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/448049-mitsui-osk-lines-m,4.5556,5,4,0,0,0,88%,88%,"SS 16, 47500 Subang Jaya, Selangor",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7754,Selia-Tek Holdings Sdn Bhd,https://www.jobstreet.com.my/en/companies/630512-selia-tek-holdings,3.6667,3,2,3,0,1,100%,55%,"Lot 18, Jalan Teknologi 3/5, Taman Sains Selangor, 47810 Kota Damansara, Selangor Darul Ehsan",selia-tek.com,51 - 200 Employees,"Medical, Miscellaneous allowance, Parking",Formal (e.g. Shirts + Ties),English and Bahasa Malaysia,"Regular hours, Mondays - Fridays"
7755,SOFRESH MARKETING SDN. BHD.,https://www.jobstreet.com.my/en/companies/451516-sofresh-marketing,1.5556,0,1,1,0,7,66%,22%,"No 7, 9 & 11, Jalan BJ 2, Taman Perindustrian Belmas Johan, Rawang, Selangor, Malaysia",No Info,1 - 50 Employees,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),All of the above,"Regular hours, Mondays - Fridays"
7756,MIRAYI SDN. BHD,https://www.jobstreet.com.my/en/companies/445393-mirayi,2.6667,3,0,1,1,4,55%,55%,"Jalan SS 7/26, Kelana Jaya, 47301 Petaling Jaya, Selangor, Malaysia",No Info,51 - 200 Employees,Medical,Casual (e.g. T-shirts),English,Long hours
7757,Federal Auto Cars Sdn Bhd,https://www.jobstreet.com.my/en/companies/616190-federal-auto-cars,3.8889,5,1,0,3,0,66%,66%,"89A, Jalan Sungai Pinang  Georgetown 10150",federalauto.com.my,No Info,No Info,No Info,No Info,No Info
7758,Philea Resort & Spa,https://www.jobstreet.com.my/en/companies/635208-philea-resort-n-spa,3.4444,2,3,2,1,1,44%,55%,Lot 2940 Jalan Ayer Keroh Off Jalan Plaza Tol 75450 Ayer Keroh,No Info,201 - 500 Employees,"Medical, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7759,Kunn-G Technologies Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/457978-kunn-g-technologies,4.4444,6,2,0,1,0,77%,77%,"No.2, Lorong Teknologi 3/4B, Nouvelle Industrial Park Lot 10, Taman Sains Selangor 1, Kota Damansara, 47810 Petaling Jaya, Selangor",kunn-g.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Loans, Parking",Business (e.g. Shirts),English,Based on Location
7760,Lim Tang Tax Services Sdn. Bhd,https://www.jobstreet.com.my/en/companies/655166-lim-tang-tax-services,3.8889,4,3,0,1,1,77%,77%,"WISMA CH, NO. 140 & 142, HALA WAH KEONG, TAMAN MIRINDY,  31400 IPOH, PERAK",No Info,1 - 50 Employees,"Medical, Incentive",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7761,TIME ERA SDN. BHD.,https://www.jobstreet.com.my/en/companies/628269-time-era,3.5556,4,1,2,0,2,66%,66%,25 Jalan P4/6 Bandar Teknologi Kajang Semenyih Selangor Malaysia,No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Mondays-Fridays, Saturdays half day (Alternate)"
7762,SKA REKABINA SDN. BHD.,https://www.jobstreet.com.my/en/companies/467632-ska-rekabina,2.3333,3,0,0,0,6,77%,11%,Jalan Anggerik Vanilla Ad 31/Ad Kota Kemuning Shah Alam Selangor Malaysia,No Info,1 - 50 Employees,"Medical, Parking",Casual (e.g. T-shirts),English,Depends on works site
7763,FFM GRAINS & MILLS SDN. BHD.,https://www.jobstreet.com.my/en/companies/439822-ffm-grains-n-mills,4.2222,4,3,2,0,0,100%,100%,"Lorong Pukal 2, Kawasan Pelabuhan Johor, 81700 Pasir Gudang",ffmb.com.my,201 - 500 Employees,"Medical, Miscellaneous allowance, Sports (Weekly Badminton & Futsal)",Business (e.g. Shirts),English,Office/Exec: 8.45am - 5.45pm (Mon-Fri)/  Non-Exec: 8.00am - 4.00pm (Mon-Sat)
7764,Paragon Vest Sdn Bhd,https://www.jobstreet.com.my/en/companies/450640-paragon-vest,2.3333,1,2,1,0,5,55%,11%,"16 Jalan Lada Sulah 16/11, Seksyen 16, 40200 Shah Alam, Selangor, Malaysia",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Parking, Commissions",Business (e.g. Shirts),"English, Mandarin & Malay",Monday - Friday
7765,SecureOne Distribution Sdn Bhd,https://www.jobstreet.com.my/en/companies/444800-secureone-distribution,2.1111,1,1,0,3,4,66%,22%,"No 7, Jalan 109E, Desa Business Park, Taman Desa, 58100 Kuala Lumpur",No Info,1 - 50 Employees,"Medical, Miscellaneous allowance, Parking, Bonus, Hospitalization and Personal Accident Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7766,FINAS,https://www.jobstreet.com.my/en/companies/645053-finas,4.5556,6,2,1,0,0,88%,88%,"Ampang, Selangor, Malaysia",No Info,51 - 200 Employees,No Info,No Info,No Info,No Info
7767,PCM Consultant Sdn Bhd,https://www.jobstreet.com.my/en/companies/447822-pcm-consultant,3.1111,1,5,0,0,3,100%,66%,"Suite 33.03, Level 33, Johor Bahru City Square (Office Tower), 106-108, Jalan Wong Ah Fook, 80000 Johor Bahru, Johor",No Info,1 - 50 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7768,SIGMA Elevator (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/614248-sigma-elevator-m,3.2222,1,4,2,0,2,77%,66%,"#G-1, 1-1 & 1-2, AXIS TECHNOLOGY CENTRE LOT 13, JALAN 225, SEKSYEN 51A Petaling Jaya 46100",No Info,51 - 200 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays-Fridays"
7769,CSY & Associates,https://www.jobstreet.com.my/en/companies/472165-csy-n-associates,4.1111,6,0,1,2,0,66%,66%,"5, Jalan Pertama 4, Pusat Perdagangan Danga Utama, 81200 Johor Bahru, Johor.",facebook.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Education support, Parking, Badminton",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7770,Kaefer (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/441561-kaefer-malaysia,3.6667,3,4,0,0,2,66%,77%,"Jalan Permas 15/1, Bandar Baru Permas Jaya, 81750 Masai, Johor",kaefer.com,201 - 500 Employees,Medical,Formal (e.g. Shirts + Ties),English,Mondays - Saturdays
7771,Universal Trustee (Malaysia) Berhad,https://www.jobstreet.com.my/en/companies/642509-universal-trustee-malaysia-berhad,3.1111,2,3,1,0,3,44%,44%,"1 Persiaran Ampang, Desa Pahlawan, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",No Info,1 - 50 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7772,Ametalin Sdn Bhd,https://www.jobstreet.com.my/en/companies/822424-ametalin,4.1111,6,1,0,1,1,77%,77%,"Iskandar Puteri, Johor, Malaysia",ametalin.com,1 - 50 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7773,Bangi Wonderland Themepark & Resort,https://www.jobstreet.com.my/en/companies/829483-bangi-wonderland-themepark-n-resort,3.8889,3,4,1,0,1,100%,66%,Bangi Wonderland Theme Park and Resort Kajang Selangor Malaysia,bangiwonderland.com.my,51 - 200 Employees,"Medical, Parking, Lunch Provided",Uniform,English,5 and a half day a week
7774,IIMAT (International Institute of Management & Technology),https://www.jobstreet.com.my/en/companies/440505-iimat-international-institute-of-management-n-technology,2.6667,2,2,0,1,4,44%,44%,"51 and 51A Jalan Ipoh (1st mile), 51200 Kuala Lumpur",No Info,1 - 50 Employees,Medical,Business (e.g. Shirts),English,"Monday to Friday, alternate Saturday (half day)"
7775,CLL Systems Sdn Bhd,https://www.jobstreet.com.my/en/companies/456084-cll-systems,3.3333,3,1,2,2,1,100%,77%,Damansara Intan Petaling Jaya Selangor Malaysia,cllsystems.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7776,M101 HOLDINGS SDN. BHD.,https://www.jobstreet.com.my/en/companies/1130215-m101-holdings,2.6667,3,1,0,0,5,77%,44%,"Jalan Ampang, Kuala Lumpur",m101.com.my,51 - 200 Employees,Medical,Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7777,Brighttail Digital Sdn Bhd,https://www.jobstreet.com.my/en/companies/158262973337003-brighttail-digital,4.7778,7,2,0,0,0,100%,66%,Kuala Lumpur,brighttail.com,1 - 50 Employees,"Medical, Parking, Vision",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7778,Ecolite  Biotech Manufacturing Sdn Bhd,https://www.jobstreet.com.my/en/companies/457223-ecolite-biotech-manufacturing,3.6667,3,2,2,2,0,66%,77%,"Lot 9284 & 9285, Jalan Yong Peng, 83400 Sri Medan, 83400 Batu Pahat, Johor",No Info,51 - 200 Employees,"Medical, Parking",Formal (e.g. Shirts + Ties),"English & Bahasa Malaysia, Mandarin","Regular hours, Mondays - Fridays"
7779,KAF Investment Bank Berhad,https://www.jobstreet.com.my/en/companies/451993-kaf-investment-bank-berhad,4.1111,6,1,0,1,1,66%,66%,"Level 14, Chulan Tower, No 3, Jalan Conlay, 50450 Kuala Lumpur",kaf.com.my,201 - 500 Employees,"Medical, Education support",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7780,MNC Wireless Bhd,https://www.jobstreet.com.my/en/companies/442072-mnc-wireless,3.6667,4,1,2,1,1,66%,55%,"100-3.011, Block J, 129 Offices, Jaya One, No 72A, Jalan Universiti, 46200 Petaling Jaya, Selangor",mnc.com.my,1 - 50 Employees,"Medical, Parking, Insurance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7781,Sales Ninja Training Sdn Bhd,https://www.jobstreet.com.my/en/companies/459413-sales-ninja-training,5.0,9,0,0,0,0,100%,88%,"Unit A-3A-2B, Empire Subang, Jalan SS16/1, 47500 Subang Jaya, Selangor.",SalesNinja.asia,1 - 50 Employees,"Medical, Miscellaneous allowance, Education support, Parking, Lots of training, coaching and team building activities",Whatever that makes you money!,English,Saturdays/Shift required
7782,Mubadala Petroleum,https://www.jobstreet.com.my/en/companies/461474-mubadala-petroleum,4.7778,8,0,1,0,0,88%,88%,"Level 11, Menara 3 Petronas, KLCC",No Info,501 - 1000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7783,Seowon Precision Glass (M) Sdn.Bhd.,https://www.jobstreet.com.my/en/companies/452267-seowon-precision-glass-m,3.6667,4,1,2,1,1,88%,55%,"Lot 2838, Kawasan Perindustrian Chembong, Rembau 71300 Negeri Sembilan Darul Khusus.",No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Parking, Vision, uniform & PPE",Casual (e.g. T-shirts),English,Saturdays/Shift required
7784,WEBRAND DIGITAL SDN. BHD.,https://www.jobstreet.com.my/en/companies/156708003223841-webrand-digital,3.6667,5,1,0,1,2,77%,66%,Sunway Velocity,vbrand.asia,1 - 50 Employees,Education support,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7785,Tricor Group,https://www.jobstreet.com.my/en/companies/458350-tricor-group,2.5556,2,1,1,1,4,44%,44%,"20, Jalan Ks 3a, Batu 7 1/2 off Jalan Puchong, 47190 Puchong, Selangor, Malaysia",tricorgroup.com.my,1 - 50 Employees,Medical,Business (e.g. Shirts),"English, Malay, Chinese",Mondays to Saturdays
7786,Intercosmetic Asia Pacific Sdn Bhd,https://www.jobstreet.com.my/en/companies/440986-intercosmetic-asia-pacific,4.1111,4,2,3,0,0,55%,77%,"2A Jalan TSB 1, Taman Industri Sungai Buloh, 47810 Petaling Jaya, Selangor, Malaysia",No Info,51 - 200 Employees,"Medical, Dental, Parking, Group Personal Accident and Hospitalization & Surgical insurance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7787,Babyana Kontraktor,https://www.jobstreet.com.my/en/companies/987895-babyana-kontraktor,2.4444,2,1,0,2,4,33%,33%,No Info,No Info,51 - 200 Employees,No Info,Formal (e.g. Shirts + Ties),Malay,Mon - Fri 8am to 5pm  Sat 8am to 1pm
7788,The Edge Property Sdn Bhd,https://www.jobstreet.com.my/en/companies/829832-the-edge-property,4.1111,4,4,0,0,1,88%,77%,"Level 3, Menara KLK, No 1, Jalan PJU 7/6, Mutiara Damansara Petaling Jaya Selangor Malaysia",edgeprop.my,1 - 50 Employees,No Info,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7789,HOST (MALAYSIA) SDN. BHD.,https://www.jobstreet.com.my/en/companies/444701-host-malaysia,3.7778,3,4,0,1,1,77%,55%,"No. 1-121, Jalan Warisan Sentral 2, Kota Warisan 43900 Sepang, Selangor, Malaysia",hmshost.com,More than 5000 Employees,"Medical, Travel Allowance, Meal Provided",Business (e.g. Shirts),English & Bahasa Malaysia,Saturdays/Shift required
7790,SPECTRUM OF LIFE SDN BHD,https://www.jobstreet.com.my/en/companies/462146-spectrum-of-life,3.5556,4,0,3,1,1,88%,44%,"Lot 442, Wisma HRIH Lotus, Jalan Pahang, Setapak, 53000 Kuala Lumpur",No Info,1 - 50 Employees,"Medical, Parking, Insurance",Business (e.g. Shirts),English,5 days a week
7791,The Institute of Internal Auditors Malaysia,https://www.jobstreet.com.my/en/companies/621675-the-institute-of-internal-auditors-malaysia,4.3333,6,2,0,0,1,100%,77%,"1-17-07, Menara Bangkok Bank, Berjaya Central Park, 105, Jalan Ampang, 50450 Kuala Lumpur",iiam.com.my,1 - 50 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7792,Kiddy123 Sdn Bhd,https://www.jobstreet.com.my/en/companies/466166-kiddy123,4.5556,8,0,0,0,1,100%,88%,"Block D-3A-5 Seri Gembira Avenue, Jalan Senang Ria, Taman Gembira, 58200 Kuala Lumpur",kiddy123.com,1 - 50 Employees,"Miscellaneous allowance, Parking, Hybrid Working",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7793,Weststar Maxus Sdn Bhd,https://www.jobstreet.com.my/en/companies/469723-weststar-maxus,3.3333,2,1,4,2,0,77%,44%,"No.366, Jalan Tun Razak, 50400 Kuala Lumpur",No Info,51 - 200 Employees,"Group Insurance, Outpatient Medical, Annual Leave",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7794,CERT ACADEMY SDN BHD,https://www.jobstreet.com.my/en/companies/467038-cert-academy,4.4444,5,3,1,0,0,100%,88%,"Taman Tasik Prima, Puchong, Selangor, Malaysia",CERTacademy.com.my,1 - 50 Employees,"Medical, Miscellaneous allowance, Sports (e.g. Gym), Parking, Company Trip, Monthly Best Employee, Annual Dinner",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7795,Customcraft (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/613380-customcraft-m,2.1111,0,2,2,0,5,33%,33%,"PT73680, JALAN 34/1B, OFF JALAN BUKIT KEMUNING, SEKSYEN 34, 40470 SHAH ALAM, SELANGOR DARUL EHSAN",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Insurance, etc",Business (e.g. Shirts),"English, Bahasa Malaysia & Chinese","Regular hours, Mondays - Fridays"
7796,Federlite Sdn Bhd,https://www.jobstreet.com.my/en/companies/614635-federlite,2.1667,0,1,0,4,1,44%,11%,"No.1, Jalan BK 1/12, Kinrara Industrial Park, Bandar Kinrara, 47100 Puchong, Selangor, Malaysia",felton.com.my,51 - 200 Employees,TBA,TBA,TBA,"Regular hours, Mondays - Fridays"
7797,REHDA Institute,https://www.jobstreet.com.my/en/companies/462962-rehda-institute,3.7778,2,4,2,1,0,88%,66%,"Wisma Rehda, No.2C Jalan SS5D/6, Kelana Jaya, 47301 Petaling Jaya",rehdainstitute.com,1 - 50 Employees,"Medical, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7798,TM Tours & Travel Sdn Bhd,https://www.jobstreet.com.my/en/companies/460148-tm-tours-n-travel,3.0,2,2,1,2,2,66%,33%,"TM Tours & Travel Sdn. Bhd., Seksyen 9, Bandar Baru Bangi, Selangor, Malaysia",tmtours.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Loans, Staff Incentives",Formal (e.g. Shirts + Ties),Malay,Mondays - Fridays (Regular hours) and Saturdays (Half days)
7799,POLIKLINIK DAMAI SDN. BHD.,https://www.jobstreet.com.my/en/companies/835788-poliklinik-damai,4.3333,6,1,1,1,0,88%,88%,"No 23A, Jalan Kesuma 3/11, Bandar Tasik Kesuma, 43700 Beranang Selangor",drmanigroup.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Dental",Formal (e.g. Shirts + Ties),English,Saturdays/Shift required
7800,ASP Medical Group Sdn Bhd,https://www.jobstreet.com.my/en/companies/156691799764819-asp-medical-group,3.6667,3,2,3,0,1,77%,88%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
7801,Shima Electronic Industry (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/440021-shima-electronic-industry-malaysia,4.2222,5,3,0,0,1,88%,100%,"PLO 683, JALAN KELULI ZONE 11, PASIR GUDANG INDUSTRIAL ESTATE, 81700 PASIR GUDANG, JOHOR",No Info,201 - 500 Employees,Medical,COMPANY UNIFORM,Malay,"Regular hours, Mondays - Fridays"
7802,AFE AIRFILTER MALAYSIA SDN BHD,https://www.jobstreet.com.my/en/companies/449948-afe-airfilter-malaysia,1.4444,0,0,2,0,7,77%,11%,"Number 10, Jalan Anggerik Mokara 31/59, Kota Kemuning, Seksyen 31, 40460 Shah Alam, Selangor.",irismal.com,1 - 50 Employees,Not Specified,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7803,Vangohh Premier Hotel,https://www.jobstreet.com.my/en/companies/1015837-vangohh-premier-hotel,3.2222,2,1,4,1,1,88%,66%,No Info,No Info,Not Specified,No Info,Formal (e.g. Shirts + Ties),No Info,Saturdays/Shift required
7804,SDMK SDN. BHD.,https://www.jobstreet.com.my/en/companies/465901-sdmk,4.0,4,2,2,1,0,77%,55%,12 Jalan Sepadu 25/123 Taman Perindustrian Axis Shah Alam Selangor Malaysia,No Info,1 - 50 Employees,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7805,Kah Hong Precision Tooling Sdn Bhd,https://www.jobstreet.com.my/en/companies/456704-kah-hong-precision-tooling,3.3333,1,4,2,1,1,66%,55%,"Lot 2228, Kampung Batu 9, Kebun Baru, Jalan Kasawari, 42500 Telok Panglima Garang, Selangor",No Info,51 - 200 Employees,Medical & Attendance  Allowance,Uniform provided,"Engilsh , Bahasa Malaysia",Monday to Saturday
7806,Anzeco Powertech Sdn Bhd,https://www.jobstreet.com.my/en/companies/650736-anzeco-powertech,4.4444,7,1,0,0,1,100%,66%,"Business Suite 19A-11-3, Level 11, Uoa Centre Jalan Pinang 50450 Kuala Lumpur",anzecopowertech.com.my,51 - 200 Employees,Medical,Business (e.g. Shirts),English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
7807,The Esquire Kitchen Sdn Bhd,https://www.jobstreet.com.my/en/companies/442648-the-esquire-kitchen,2.8889,1,1,5,0,2,44%,55%,"Pusat Perdagangan Phileo Damansara 1, 46350 Petaling Jaya, Selangor, Malaysia",esquirekitchen.com,201 - 500 Employees,"Medical, Parking, Yearly Increment, Bonus, Mileage Claim",Formal (e.g. Shirts + Ties),Mandarin,"Outlet - 6 days & 1 Day off , HQ- 5 Days a week"
7808,NILAI HARTA CONSULTANT SDN BHD,https://www.jobstreet.com.my/en/companies/470149-nilai-harta-consultant,4.1111,2,6,1,0,0,100%,77%,"2-108 Endah Parade No. 1, Jln 1/14E, BDR Baru Seri Petaling - 57000",nilaiharta.com.my,1 - 50 Employees,Miscellaneous allowance,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays-Fridays"
